ticker,adv_shares,last_price,slip_500_pct,vs_flat_500,slip_1k_pct,vs_flat_1k,slip_5k_pct,vs_flat_5k
RMSG,38468440.9,2.564,1.753,1.553,1.104,0.904,0.745,0.545
ROLR,4958949.65,7.32,1.826,1.626,1.207,1.007,0.976,0.776
ROMA,393185.15,5.2587,2.418,2.218,2.045,1.845,2.848,2.648
RPAY,2567217.65,4.07,1.98,1.78,1.426,1.226,1.465,1.265
RPGL,1691661.9,0.4655,2.9,2.7,2.727,2.527,4.373,4.173
RR,6909378.8,2.36,1.917,1.717,1.337,1.137,1.265,1.065
RUBI,556492.6,3.58,2.432,2.232,2.065,1.865,2.894,2.694
RVVTF,152215.2,0.033,10.0,9.8,10.0,9.8,10.0,9.8
RXT,7033291.9,1.4016,1.996,1.796,1.449,1.249,1.515,1.315
RZLV,20482424.3,2.69,1.789,1.589,1.156,0.956,0.86,0.66
SAFX,17794807.0,0.4499,2.035,1.835,1.504,1.304,1.639,1.439
SBEV,2117407.05,0.3362,2.965,2.765,2.819,2.619,4.579,4.379
SCNX,785654.5,0.3824,3.68,3.48,3.83,3.63,6.839,6.639
SEE,3177417.8,41.97999954223633,1.756,1.556,1.109,0.909,0.755,0.555
SEED,55764.9,1.31,5.777,5.577,6.795,6.595,10.0,9.8
SEGG,1374231.55,0.5977,2.874,2.674,2.69,2.49,4.29,4.09
SELX,4923153.1,0.4129,2.404,2.204,2.026,1.826,2.806,2.606
SER,1107726.0,2.03,2.386,2.186,1.999,1.799,2.747,2.547
SGLY,464184.05,0.39,4.205,4.005,4.572,4.372,8.5,8.3
SGN,43032953.11111111,0.556274,1.858,1.658,1.253,1.053,1.077,0.877
SHAZ,208650.1,36.96,2.043,1.843,1.514,1.314,1.662,1.462
SHPH,205441.15,0.9391,4.128,3.928,4.464,4.264,8.258,8.058
SIDU,27302639.4,4.8595,1.735,1.535,1.08,0.88,0.691,0.491
SKYQ,24417709.15,9.039899826049805,1.715,1.515,1.051,0.851,0.627,0.427
SLAI,75862.45,0.85,6.043,5.843,7.172,6.972,10.0,9.8
SLND,800150.95,1.1344,2.811,2.611,2.6,2.4,4.091,3.891
SLNH,3563470.95,1.08,2.203,2.003,1.742,1.542,2.171,1.971
SLS,4952775.55,5.2597,1.859,1.659,1.255,1.055,1.082,0.882
SMSI,92089.45,0.745,5.908,5.708,6.982,6.782,10.0,9.8
SMX,1985457.15,4.88,1.999,1.799,1.453,1.253,1.525,1.325
SNAL,44745594.4,0.7814,1.824,1.624,1.206,1.006,0.972,0.772
SNSE,52519.7,30.42,2.525,2.325,2.196,1.996,3.186,2.986
SNYR,2732925.25,0.5215,2.553,2.353,2.236,2.036,3.276,3.076
SOAR,8371784.45,0.2161,2.471,2.271,2.121,1.921,3.018,2.818
